Status,Issue #,Priority,Category,Issue,Tenant,Unit,Closed,Description
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14724031,B,Violations,14724031,,2B,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR IN THE 1st ROOM FROM NORTH LOCATED AT APT 2B, 2nd STORY, 4th APARTMENT FROM WEST AT NORTH"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14724037,B,Violations,14724037,,2B,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE MARBLE SADDLE AT ENTRANCE IN THE KITCHEN LOCATED AT APT 2B, 2nd STORY, 4th APARTMENT FROM WEST AT NORTH"
DEFECT LETTER ISSUED,14735622,C,Violations,14735622,,2A,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM WEST AT NORTH"
NOT COMPLIED WITH,14944076,C,Violations,14944076,,,,"SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE LOCKING DEVICE AT DOOR AT VESTIBULE AT PUBLIC HALL, 1st STORY"
VIOLATION WILL BE REINSPECTED,14944084,C,Violations,14944084,,5A,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE IN THE ENTRANCE LOCATED AT APT 5A, 5th STORY, 3rd APARTMENT FROM NORTH AT EAST"
VIOLATION WILL BE REINSPECTED,14944086,C,Violations,14944086,,6H,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE IN THE ENTRANCE LOCATED AT APT 6H, 6th STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14944099,B,Violations,14944099,,6E,,"SECTION 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST"
VIOLATION WILL BE REINSPECTED,14944112,C,Violations,14944112,,1F,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE AT 1ST ENTRANCE FROM SOUTH AT WEST LOCATED AT APT 1F, 1st STORY, 3rd APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14944116,A,Violations,14944116,,,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE EAST WALL AT PUBLIC HALL, 1st STORY, SECTION ''SOUTH''"
NOT COMPLIED WITH,14944180,B,Violations,14944180,,4D,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE INTERCOM SYSTEM IN THE ENTIRE APARTMENT LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14944278,B,Violations,14944278,,1D,,"SECTION 27-2005, 2007 ADM CODE FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM AT LEAST 1 WINDOW OR PROVIDE APPROVED TYPE GATE IN THE ENTIRE APARTMENT LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14944505,B,Violations,14944505,,,,SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE FIRE RATED DOOR LEADING TO REAR YARD AT SOUTH SECTION AT BASEMENT
VIOLATION WILL BE REINSPECTED,14944520,C,Violations,14944520,,,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE FIRE DOORS LEADING TO THE PARKING LOT AT SOUTH SECTION AT BASEMENT"
NOT COMPLIED WITH,14944531,B,Violations,14944531,,,,SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE FIRE RATED DOOR AT COMPACTOR ROOM AT SOUTH SECTION AT BASEMENT
NOT COMPLIED WITH,14956647,B,Violations,14956647,,2K,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC TILES FLOOR IN THE BATHROOM LOCATED AT APT 2K, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14956652,B,Violations,14956652,,2K,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL AT BATHTUB IN THE BATHROOM LOCATED AT APT 2K, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST"
VIOLATION WILL BE REINSPECTED,14339208,C,Violations,14339208,,,,SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE VESTIBULE TO LOBBY DOOR LOCK AT BUILDING ENTRANCE AT PUBLIC HALL
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515281,B,Violations,14515281,,2H,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WEST AND NORTH WALL IN THE 2nd ROOM FROM NORTH AT WEST LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515284,B,Violations,14515284,,,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE MORTAR JOINT AT BRICKS AT EXTERIOR WEST WALL AT APT.2H , 2nd STORY"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515287,B,Violations,14515287,,2H,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE PRIVATE HALLWAY LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
NOV SENT OUT,15236223,A,Violations,15236223,,,,SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING AND WALLS AT NORTH BULKHEAD
NOT COMPLIED WITH,8819502,B,Violations,8819502,,4J,,"SECTION 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 4J, 4th STORY, APARTMENT AT NORTH"
NOT COMPLIED WITH,13794504,C,Violations,13794504,,5C,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 5C, 5th STORY, 3rd APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH ''"
DEFECT LETTER ISSUED,13814529,C,Violations,13814529,,,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES AT PUBLIC HALL, 3rd STORY"
DEFECT LETTER ISSUED,13867834,B,Violations,13867834,,2A,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING , NORTH AND WEST WALL IN THE BATHROOM LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13883089,C,Violations,13883089,,3F,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3F, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH"
DEFECT LETTER ISSUED,14037200,B,Violations,14037200,,2A,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND SOUTH WALL IN THE KITCHEN LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13867842 ISSUED 24-OCT-20 HAS BEEN UPGRADED TO CLASS B PER ADMINISTRATIVE CODE 27-2017.3a(3)(a) or (b)."
DEFECT LETTER ISSUED,14411304,B,Violations,14411304,,3G,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING & WALLS (APPRX. 20 SQ.FT.) IN THE BATHROOM LOCATED AT APT 3G, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ''north''"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515249,B,Violations,14515249,,3A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE KITCHEN LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515253,B,Violations,14515253,,3A,,"SECTION 27-2005 ADM CODE PROPERLY SECURE THE LOOSE DOOR UNDER SINK CABINET IN THE KITCHEN LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515275,C,Violations,14515275,,2H,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515276,C,Violations,14515276,,2H,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14533692,B,Violations,14533692,,4C,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE SLIDING WOOD DOORS AT CLOSET IN THE 2nd ROOM FROM EAST AT SOUTH LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
DEFECT LETTER ISSUED,14533734,C,Violations,14533734,,5D,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 5D, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST"
DEFECT LETTER ISSUED,14533735,C,Violations,14533735,,5D,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 5D, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14713589,C,Violations,14713589,,,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE THE VESTIBULE DOOR LOCKSET, AT BASEMENT AT PUBLIC HALL"
DEFECT LETTER ISSUED,14735623,C,Violations,14735623,,2A,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM WEST AT NORTH"
NOT COMPLIED WITH,14748387,B,Violations,14748387,,5F,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE REGLAZE BATHTUB WITH PORCELAIN FINISH IN THE BATHROOM LOCATED AT APT 5F, 5th STORY, 3rd APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14943172,B,Violations,14943172,,2K,,"SECTION 27-2026 ADM CODE REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT WASH BASIN IN THE BATHROOM LOCATED AT APT 2K, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14943174,B,Violations,14943174,,2K,,"SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE WASH BASIN CABINET IN THE BATHROOM LOCATED AT APT 2K, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944127,B,Violations,14944127,,1K,,"SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE COUNTER TOP AT BASE CABINET UNDER SINK IN THE KITCHEN LOCATED AT APT 1K, 1st STORY, 1st APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944133,B,Violations,14944133,,1K,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL AT BATHTUB IN THE BATHROOM LOCATED AT APT 1K, 1st STORY, 1st APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944184,A,Violations,14944184,,4C,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING AND ALL WALLS IN THE ENTIRE APARTMENT LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944185,B,Violations,14944185,,4C,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944186,B,Violations,14944186,,4C,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL AT BATHTUB IN THE BATHROOM LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944188,B,Violations,14944188,,4C,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND SOUTH WALL IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944417,B,Violations,14944417,,4A,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AT UPPER WALL CABINET AT SOUTH WALL IN THE KITCHEN LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944422,B,Violations,14944422,,4A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE HARDWOOD FLOOR IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944460,B,Violations,14944460,,4A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE WINDOW FRAME AT EAST WALL IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944491,B,Violations,14944491,,4A,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND EAST WALL IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944495,B,Violations,14944495,,4A,,"SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE DOOR AT ENTRANCE IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944553,A,Violations,14944553,,,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING AND WEST WALL AT SOUTH BULKHEAD , SECTION ''NORTH ''"
DEFECT LETTER ISSUED,15113299,C,Violations,15113299,,4C,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,15113302,A,Violations,15113302,,4C,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING IN THE KITCHEN LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,15113303,A,Violations,15113303,,4C,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,15113306,A,Violations,15113306,,4C,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,15113308,A,Violations,15113308,,4C,,"SECTION 27-2005 ADM CODE PROPERLY SECURE THE LOOSE SLIDING CLOSET DOOR TO TRACK IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,15113310,C,Violations,15113310,,4C,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 4C, 4th STORY, 5th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,15113520,B,Violations,15113520,,,,"SECTION 27-2040 ADM CODE INSTALL AND MAINTAIN SUFFICIENT LIGHT OR LIGHTS OF AT LEAST 100 WATTS INCANDESCENT OR EQUIVALENT EACH, TO LIGHT ADEQUATELY FROM SUNSET TO SUNRISE THE SOUTH YARD"
NOT COMPLIED WITH,15113668,A,Violations,15113668,,,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE EAST WALL AT PUBLIC HALL, 1st STORY, SECTION ''SOUTH''"
NOV CERTIFIED LATE,15113663,C,Violations,15113663,,,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE TO FIRE STAIRWELL AT PUBLIC HALL, 5th STORY, SECTION ''SOUTH''"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14944286,A,Violations,14944286,,3E,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING AND ALL WALLS IN THE ENTIRE APARTMENT LOCATED AT APT 3E, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14944288,C,Violations,14944288,,3E,,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF KEY OPERATED LOCK INSTALLED AT DOOR LEADING TO THE FIRE ESCAPE EXIT IN THE 3rd ROOM FROM NORTH LOCATED AT APT 3E, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14944290,C,Violations,14944290,,3E,,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF AIR CONDITIONER INSTALLED AT WINDOW LEADING TO THE FIRE ESCAPE EXIT IN THE 3rd ROOM FROM NORTH LOCATED AT APT 3E, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14944307,B,Violations,14944307,,3E,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE FOYER LOCATED AT APT 3E, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14944353,B,Violations,14944353,,4A,,"SECTION 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944355,B,Violations,14944355,,4A,,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944470,B,Violations,14944470,,4A,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND ALL WALLS IN THE BATHROOM LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,14944547,B,Violations,14944547,,,,"SECTION 27-2005 ADM CODE REPAIR THE ROOF SO THAT IT WILL NOT LEAK AT CEILING AT SOUTH BULKHEAD , SECTION ''NORTH ''"
NOT COMPLIED WITH,14944551,B,Violations,14944551,,,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING AND WEST WALL AT SOUTH BULKHEAD , SECTION ''NORTH ''"
NOT COMPLIED WITH,14336805,B,Violations,14336805,,2C,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING, SOUTH , EAST AND WEST WALLS IN THE BATHROOM LOCATED AT APT 2C, 2nd STORY, 5th APARTMENT FROM NORTH AT EAST"
VIOLATION WILL BE REINSPECTED,14340047,C,Violations,14340047,,,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE MORTISE LOCK AT VESTIBULE DOOR AT PUBLIC HALL, 1st STORY"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,6683646,B,Violations,6683646,,6H,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE PORCELAIN IN BATH TUB IN THE 2nd BATHROOM FROM NORTH LOCATED AT APT 6H, 6th STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,8505156,B,Violations,8505156,,1G,,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF CONCEALED WATER LEAK CEILING IN THE BATHROOM LOCATED AT APT 1G, 1st STORY, APARTMENT AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14134846,A,Violations,14134846,,3A,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT APPROXIMATELY 1SQFT) CEILING IN THE PRIVATE HALLWAY LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14134847,C,Violations,14134847,,3A,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13864086,C,Violations,13864086,,3F,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3F, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515246,B,Violations,14515246,,3A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE SUBFLOORING IN THE KITCHEN LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515255,B,Violations,14515255,,3A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE MECHANIC VENT SYSTEM AT WEST WALL IN THE KITCHEN LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
VIOLATION WILL BE REINSPECTED,14748422,B,Violations,14748422,,,,SECTION 27-2005 ADM CODE FIRE ESCAPE DEFECTIVE. ADJUST THE DROPLADDER SO THAT IT WILL SLIDE EASILY IN THE GUIDE RODS AT BUILDING FRONT AT 1st FIRE ESCAPE FROM NORTH AT WEST
NOV SENT OUT,15236201,B,Violations,15236201,,6K,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE 1st ROOM FROM EAST LOCATED AT APT 6K, 6th STORY, 1st APARTMENT FROM NORTH AT EAST"
NOV SENT OUT,15236216,B,Violations,15236216,,2A,,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT EAST WALL BASEBOARD AT EAST WALL IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOV SENT OUT,15236218,B,Violations,15236218,,2A,,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT EAST WALL EAST WALL IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOV SENT OUT,15236224,C,Violations,15236224,,,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE AT NORTH BULKHEAD TO ROOF"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14333660,A,Violations,14333660,,3A,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING, WEST WALL IN THE PRIVATE HALLWAY LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14333661,A,Violations,14333661,,3A,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING, WEST WALL IN THE PRIVATE HALLWAY LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM NORTH AT EAST"
